,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,ORCL,ADBE,CRM,CSCO,ACN,INTC,AMD,QCOM,TXN,IBM,NOW,INTU,AMAT,MU,ADI,LRCX,NFLX,DIS,CMCSA,T,VZ,TMUS,JPM,BAC,WFC,GS,MS,C,BLK,SCHW,AXP,SPGI,BX,V,MA,PYPL,UNH,JNJ,LLY,PFE,MRK,ABBV,TMO,ABT,DHR,BMY,AMGN,MDT,CVS,GILD,WMT,PG,KO,PEP,COST,MCD,NKE,SBUX,HD,LOW,TGT,BKNG,MDLZ,CL,EL,XOM,CVX,COP,SLB,CAT,BA,GE,HON,UPS,RTX,LMT,DE,MMM,UNP,LIN,FCX,NEE,DUK,BRK-B,F,GM,UBER,ABNB,SHOP,SQ,PLTR,SNOW,COIN
2024-12-03,205.78,210.23,165.72,333.31,387.99,359.56,100.54,519.03,315.61,302.73,335.42,137.2,151.75,136.84,398.5,128.7,299.82,438.85,451.81,300.02,550.74,240.63,353.81,326.08,137.45,135.23,166.48,140.91,135.74,497.27,234.9,264.98,250.53,149.31,301.31,570.5,109.32,143.82,133.5,594.68,429.62,209.9,534.34,215.85,419.58,294.97,50.93,280.62,37.5,294.74,550.6,71.19,149.22,311.31,414.33,102.09,118.78,487.9,354.11,115.05,283.5,307.1,269.68,272.3,681.21,321.72,172.39,409.51,96.53,279.83,188.32,103.9,227.82,427.03,256.41,523.7,55.77,213.28,694.73,165.81,239.11,52.04,650.42,424.88,374.91,95.12,211.79,471.4,142.28,165.05,215.73,257.7,327.78,240.02,382.79,219.57,358.39,346.15,142.42,393.53,296.6
2024-12-04,203.6,216.04,171.83,324.27,395.72,360.91,100.71,523.48,304.33,293.45,331.33,135.02,150.04,131.58,403.64,127.31,300.0,426.02,460.7,298.77,536.48,245.55,357.1,316.15,135.21,131.92,165.98,143.01,137.27,519.71,238.38,263.61,246.79,152.64,302.97,553.32,110.77,145.26,141.03,593.76,431.6,213.97,537.88,214.66,432.36,299.2,51.19,286.61,37.91,291.85,561.73,74.41,149.67,311.08,421.85,100.77,118.64,482.97,350.23,118.72,277.65,305.99,274.09,279.59,697.86,328.36,171.29,407.9,99.27,290.8,191.39,105.09,229.28,429.42,259.04,512.23,56.15,208.76,699.08,164.62,240.72,52.24,651.77,432.94,371.69,93.46,212.71,464.56,141.72,165.74,220.36,262.54,333.54,241.27,386.2,219.28,355.59,345.59,139.82,401.43,284.79
2024-12-05,208.55,219.14,165.4,335.2,399.87,360.43,99.92,526.32,297.87,282.7,332.65,137.88,150.48,134.59,405.95,128.84,305.1,430.96,443.62,296.63,552.85,239.57,366.32,330.49,134.43,136.39,168.34,142.33,134.66,509.74,241.0,259.02,250.69,153.07,294.8,560.63,110.9,148.19,143.45,598.76,429.76,225.54,536.34,216.28,437.18,308.74,48.85,282.27,37.23,288.11,579.52,72.65,146.93,307.07,412.86,99.45,118.89,482.01,348.38,117.67,276.57,317.95,268.6,281.26,693.65,318.24,168.85,411.56,100.68,291.37,191.58,106.04,222.23,424.68,255.75,510.68,57.37,209.5,685.04,164.72,244.45,53.96,639.7,447.41,374.02,93.89,220.86,454.92,144.12,163.93,217.89,265.03,325.81,235.11,377.87,218.83,358.69,341.23,140.09,379.01,284.2
2024-12-06,207.06,217.55,171.05,336.32,416.72,375.19,99.09,526.61,296.66,274.23,331.8,135.34,154.19,135.3,406.01,129.92,307.44,443.71,440.91,297.05,563.02,242.61,381.51,326.55,131.5,135.94,167.61,141.46,134.26,498.52,242.32,257.39,247.02,153.51,307.45,580.7,111.09,145.41,140.04,591.01,442.24,214.23,536.52,220.85,436.67,312.58,50.36,280.0,38.36,286.62,600.76,74.62,143.37,313.77,424.32,102.98,117.35,479.03,358.49,116.98,279.97,325.39,281.65,279.39,699.83,315.73,171.93,414.06,99.29,294.7,193.27,104.42,230.34,422.14,258.43,496.69,58.38,219.5,673.84,162.55,251.28,54.16,655.92,451.51,381.71,93.65,226.95,456.7,143.27,168.39,215.47,264.06,331.84,235.73,364.57,217.02,352.23,325.3,141.83,382.69,283.65
2024-12-09,210.15,219.58,171.31,321.13,414.02,383.43,99.27,518.41,305.8,280.18,336.23,132.73,151.19,130.54,412.71,132.56,307.3,449.51,434.3,296.69,573.25,242.92,384.43,334.86,127.84,139.3,169.8,142.81,138.69,473.18,242.96,256.38,242.31,152.63,323.27,576.6,111.92,151.21,145.65,576.26,469.37,217.98,538.46,221.12,447.9,305.3,51.34,277.24,38.16,289.07,609.12,74.17,150.13,319.45,430.25,106.08,116.73,487.97,354.78,116.88,285.62,314.53,285.34,290.81,708.77,311.65,171.84,407.95,100.27,292.28,191.7,102.73,222.71,422.63,253.08,489.9,59.35,216.67,681.11,164.63,257.18,52.46,635.96,439.7,388.08,94.51,228.51,454.45,142.23,169.37,213.86,269.67,324.59,240.06,395.78,218.14,353.34,328.45,142.63,383.19,295.08
2024-12-10,209.75,221.5,169.7,305.31,407.87,373.42,98.65,496.68,298.2,284.84,335.23,130.38,154.83,127.87,406.04,131.77,310.65,444.23,439.77,294.17,583.04,245.9,398.76,334.58,128.47,142.94,167.83,145.27,139.88,462.81,241.53,254.04,248.14,152.53,326.64,598.42,112.35,152.54,142.9,575.3,445.38,218.48,536.55,226.81,448.28,307.11,48.17,280.27,38.38,290.07,601.3,72.64,150.94,324.28,432.66,110.1,115.9,482.49,353.12,119.28,278.96,322.54,290.87,293.29,695.42,312.54,172.41,415.11,100.51,294.73,190.68,101.61,218.71,423.6,258.26,501.37,59.32,217.49,726.69,164.95,256.0,53.07,645.36,442.0,381.33,92.45,223.78,452.96,142.02,167.03,212.72,267.9,328.42,234.95,410.55,219.64,354.08,329.39,139.12,382.73,291.85
2024-12-11,209.51,220.09,170.96,308.85,410.63,367.45,100.13,527.41,310.49,302.05,336.76,130.17,151.92,122.18,399.84,130.34,299.06,444.49,444.0,290.34,594.27,249.95,417.51,336.78,125.65,145.21,163.87,144.87,138.9,474.94,233.61,261.06,249.37,154.07,335.79,607.02,112.54,148.15,135.47,563.13,440.03,217.45,524.04,231.83,444.0,315.65,48.15,278.33,38.19,294.7,627.98,71.31,152.2,326.9,439.53,105.88,115.83,490.37,360.19,120.76,278.44,302.91,291.91,283.9,722.96,314.56,178.32,418.51,98.26,301.49,194.18,99.28,220.64,414.44,258.64,499.34,59.35,213.4,728.84,160.36,263.26,50.49,675.06,448.78,387.91,91.54,224.31,468.81,137.74,170.55,212.21,264.25,332.15,241.84,397.01,218.96,358.31,322.5,140.89,383.35,290.77
2024-12-12,210.96,224.67,168.91,321.1,399.06,355.46,99.75,510.92,319.74,302.78,346.84,131.49,148.9,121.55,396.98,130.61,297.9,446.25,432.49,296.08,587.63,255.6,416.36,330.69,121.73,157.6,162.54,141.15,135.92,470.37,219.22,255.79,250.01,149.81,328.83,597.99,114.09,144.23,135.42,574.51,435.59,222.74,520.77,232.53,429.33,307.71,48.15,279.39,38.32,286.66,630.1,73.58,147.62,334.59,432.47,107.87,115.37,480.68,367.36,120.97,276.72,295.93,289.48,293.12,710.18,310.15,184.39,418.53,100.46,305.89,195.26,100.53,221.53,423.97,257.11,523.19,60.23,215.66,714.2,158.54,270.0,50.96,673.57,449.41,384.86,91.4,224.29,471.88,135.04,170.4,215.09,261.84,326.27,242.35,402.45,218.48,362.8,325.67,140.16,402.59,294.3
2024-12-13,214.42,210.72,169.31,348.69,382.23,368.54,100.19,495.65,313.07,300.94,340.37,130.87,149.38,122.91,404.14,133.12,300.93,441.86,428.82,297.9,591.46,268.0,444.72,330.14,124.87,147.26,162.95,139.51,132.91,464.13,218.13,256.68,255.65,150.8,319.8,571.1,115.86,139.1,135.42,560.73,427.65,232.2,524.34,230.59,429.23,311.28,48.57,280.32,38.12,277.97,637.36,76.94,149.18,338.01,423.81,106.33,118.13,476.49,374.4,123.52,285.1,294.35,290.59,291.04,692.03,303.98,182.39,431.17,99.81,300.61,191.16,98.42,216.08,422.52,259.37,537.58,60.21,211.97,753.95,156.17,267.48,50.17,673.36,469.23,376.14,92.6,226.22,470.21,135.9,171.02,215.98,257.85,332.1,234.61,399.5,213.04,366.44,317.56,142.55,393.54,294.31
2024-12-16,215.11,217.01,168.62,349.68,377.8,368.6,100.08,479.64,311.32,310.0,326.65,134.83,147.52,118.64,393.02,128.19,302.75,442.51,417.59,303.8,584.07,270.69,434.31,322.93,119.69,154.29,160.61,136.96,135.7,466.77,215.73,260.16,261.14,150.28,326.63,580.57,114.39,136.0,136.84,554.77,431.4,224.25,514.01,232.2,426.85,314.69,47.51,281.92,39.88,279.25,658.8,77.0,151.36,342.1,421.12,105.38,119.53,481.6,371.98,123.21,282.37,289.32,295.08,280.34,657.28,302.48,174.79,436.62,100.07,301.42,192.79,99.75,217.31,432.38,260.01,552.83,60.54,205.95,738.56,149.92,256.83,50.87,660.79,467.62,381.47,90.91,227.1,480.33,134.64,172.51,220.02,258.72,336.99,236.93,394.91,211.88,373.08,314.53,140.59,394.48,303.48
2024-12-17,216.73,222.81,174.02,340.75,366.9,395.58,100.91,469.89,307.64,303.21,325.57,133.98,146.75,124.69,389.02,131.85,310.72,423.52,412.3,305.89,547.39,264.92,429.8,328.82,117.69,158.6,160.39,135.33,141.6,472.77,220.41,257.31,261.28,154.3,324.03,567.54,115.96,138.99,140.64,552.78,430.71,224.72,512.19,228.84,440.02,314.88,46.63,281.65,40.29,265.05,674.86,78.63,156.93,342.85,420.01,106.52,119.07,478.32,369.95,117.29,292.22,284.63,286.06,280.91,676.5,308.2,171.5,435.06,101.21,292.84,189.72,97.79,220.72,420.08,258.32,558.36,58.76,199.67,727.09,151.94,247.43,51.32,619.72,483.25,374.9,92.21,218.21,492.16,134.9,171.4,219.58,258.27,344.77,237.95,395.44,208.96,373.02,312.03,141.23,393.95,298.91
2024-12-18,213.8,219.29,176.35,342.72,375.55,406.4,102.72,447.88,310.98,306.97,321.71,136.49,145.48,129.42,383.48,131.13,312.19,419.6,416.86,309.91,516.27,266.58,430.77,337.09,119.16,164.46,161.88,134.81,143.21,462.65,219.04,256.84,265.16,152.57,330.79,569.46,115.92,138.92,144.51,552.44,437.08,215.39,519.27,223.49,429.7,317.37,46.19,284.56,40.1,263.74,674.12,78.38,160.96,344.46,420.73,110.76,119.4,465.54,377.45,118.22,305.71,292.0,273.96,284.35,681.84,311.62,173.68,443.17,100.86,289.38,192.42,99.72,219.89,415.61,252.2,563.74,58.51,201.4,753.35,152.71,241.77,50.95,617.09,488.65,378.32,91.98,217.39,493.75,134.74,172.14,212.99,262.33,337.0,232.5,404.05,210.43,372.61,299.79,143.19,408.16,313.96
2024-12-19,208.49,217.69,173.4,335.34,377.66,404.28,102.63,454.65,309.96,304.92,322.99,136.21,149.98,128.46,368.85,136.48,312.56,411.05,424.93,310.51,509.85,268.68,433.22,340.38,121.57,165.1,156.93,135.49,142.74,444.89,231.42,263.52,261.9,150.17,322.3,568.53,111.48,144.58,146.43,569.52,456.72,223.23,515.73,224.58,444.13,322.23,46.6,283.5,41.27,260.3,664.01,82.32,157.89,343.38,424.59,107.25,119.74,465.52,375.65,118.81,313.41,297.91,287.09,290.94,678.77,314.5,183.83,451.16,102.91,286.79,196.67,101.79,216.08,414.22,245.15,560.77,59.0,198.58,726.33,153.1,241.3,50.99,605.3,482.28,379.12,93.29,221.76,502.8,136.54,172.23,206.35,263.29,339.01,236.06,415.85,209.99,372.29,304.1,140.61,428.18,319.63
2024-12-20,207.46,212.82,175.71,351.72,386.81,407.11,103.37,465.72,313.12,296.54,321.16,141.42,154.08,121.91,372.05,133.54,303.89,405.17,413.8,311.57,508.75,270.65,434.09,348.49,123.28,166.9,155.29,135.18,141.64,433.89,237.8,262.13,268.47,153.38,329.02,567.74,111.05,143.48,142.21,560.74,452.79,218.33,509.08,223.66,455.71,321.23,47.75,282.77,40.71,266.07,672.24,84.15,155.85,343.01,425.27,107.5,123.28,470.34,377.69,119.38,303.83,306.11,297.16,288.69,652.52,313.12,189.04,448.93,102.84,288.48,200.91,102.02,210.7,421.2,251.69,556.74,60.33,195.78,708.86,154.97,249.57,51.62,606.11,486.15,373.16,93.3,224.54,494.28,134.89,172.66,211.69,259.92,340.67,237.1,408.29,206.05,374.67,310.01,136.22,437.7,319.61
2024-12-23,206.94,210.17,179.6,345.47,392.63,410.13,103.26,441.97,315.99,295.9,324.43,141.1,151.25,121.72,375.8,135.63,307.5,412.0,436.55,304.72,516.9,269.76,458.01,341.34,123.4,172.73,152.08,134.34,143.33,431.24,229.07,266.44,260.76,154.36,342.4,544.3,110.62,141.63,143.37,557.46,447.17,224.86,507.29,224.72,463.29,327.19,49.26,287.46,39.53,266.79,637.18,86.17,158.25,340.07,429.74,111.34,123.17,455.98,373.68,114.61,297.35,299.65,300.35,294.37,685.71,314.32,184.93,458.23,102.78,292.7,203.34,101.93,207.82,426.64,252.52,560.65,60.14,194.27,723.73,153.37,241.35,52.79,616.7,489.98,369.55,94.82,218.86,496.34,135.71,170.22,206.82,253.71,337.73,233.27,421.72,206.86,383.57,313.39,139.86,426.35,334.42
2024-12-24,208.4,211.53,182.92,347.31,383.79,405.19,104.41,433.64,319.36,295.67,324.45,139.33,152.36,123.43,372.27,139.22,307.95,422.21,409.06,306.37,519.44,267.87,470.99,347.29,123.58,170.03,151.37,132.61,140.47,438.48,228.47,269.1,268.24,156.37,339.61,550.28,111.8,142.66,142.86,563.97,448.3,228.67,517.6,227.97,472.96,319.01,49.98,286.9,39.57,276.46,625.44,85.98,162.57,336.57,425.89,109.69,125.87,466.28,375.6,114.44,294.51,288.21,291.72,295.94,670.57,305.84,185.26,464.38,103.08,286.46,213.83,99.87,217.01,436.12,255.88,562.6,60.79,199.77,731.25,156.18,238.95,52.01,617.15,496.9,371.9,93.08,220.57,500.17,135.3,175.39,203.69,251.28,329.6,232.53,419.41,208.93,379.63,318.67,134.86,409.61,339.55
2024-12-25,207.26,212.13,182.38,346.61,376.87,412.02,102.63,433.58,314.57,291.28,324.73,140.76,153.1,120.82,378.86,139.22,303.88,418.74,402.45,312.13,514.89,260.9,455.41,353.7,121.0,167.77,152.41,132.06,136.91,455.62,232.16,267.17,269.01,157.68,330.43,541.29,114.84,147.58,142.82,563.75,455.02,229.44,512.97,226.04,479.24,313.57,50.12,284.82,39.85,263.89,619.68,84.99,153.51,337.42,429.92,111.59,126.16,459.67,384.79,112.57,292.22,289.0,284.38,293.18,684.81,306.95,183.25,457.45,102.25,281.39,218.52,101.78,217.17,441.52,255.99,566.29,60.96,194.95,720.34,156.5,245.26,53.3,631.82,491.16,368.12,95.24,219.18,501.47,135.79,174.64,206.56,251.01,340.68,233.31,412.58,207.04,375.34,315.51,136.18,414.39,341.86
2024-12-26,202.44,212.31,185.6,344.99,377.35,408.17,100.85,449.04,322.75,291.75,321.98,137.93,153.18,124.44,380.7,133.23,295.87,416.98,405.85,307.56,525.05,257.03,445.66,367.25,120.79,168.93,155.4,134.2,132.09,465.5,240.03,268.77,271.69,158.71,349.42,550.28,115.35,148.34,150.21,586.83,445.85,227.99,508.54,230.18,490.17,303.25,50.92,276.19,40.65,261.31,625.55,85.02,157.84,334.29,431.21,108.23,126.35,459.75,378.32,115.12,307.77,283.3,290.19,295.3,666.34,308.9,187.36,464.48,103.79,276.92,218.65,104.07,216.66,442.36,258.4,577.03,60.43,198.77,716.63,155.91,246.16,51.94,635.38,478.13,371.7,96.04,222.66,510.62,135.44,174.84,203.62,248.94,355.27,229.06,403.11,207.67,374.69,299.07,135.91,409.34,335.98
2024-12-27,204.07,211.07,179.05,348.21,381.42,410.94,100.28,440.18,327.48,300.34,319.6,136.11,150.89,126.72,376.13,131.93,287.4,405.53,409.93,312.91,520.79,257.77,431.49,373.42,122.31,169.64,156.34,133.41,130.86,468.07,238.46,266.71,271.56,158.41,371.44,557.25,114.31,150.82,151.55,548.26,464.76,219.5,517.52,235.69,484.48,302.58,49.97,271.2,39.67,252.56,638.03,84.9,154.18,339.33,438.57,109.63,127.24,464.04,385.67,117.24,315.65,281.84,289.68,301.7,654.82,308.75,187.79,467.17,103.87,280.34,218.4,108.07,210.62,436.71,252.97,559.45,60.5,194.15,680.98,160.45,257.47,52.96,668.56,475.53,371.91,96.75,223.23,494.81,133.12,174.43,202.01,235.82,367.11,226.33,392.01,204.53,372.31,309.68,132.98,413.36,330.16
2024-12-30,201.07,217.29,182.84,351.92,368.21,418.33,101.35,434.43,325.93,296.55,322.53,138.24,150.55,126.85,382.93,143.53,296.07,404.63,385.34,307.38,523.96,245.9,431.4,365.98,125.32,160.86,158.06,136.06,128.92,461.05,242.06,265.36,272.31,161.85,367.49,565.64,114.23,152.3,156.32,581.38,481.04,217.68,538.93,236.29,469.06,299.73,49.5,269.31,39.5,247.53,608.34,84.35,154.36,338.31,437.82,108.98,126.91,460.48,382.42,118.36,311.22,275.95,296.06,296.69,654.09,304.43,183.33,462.52,103.98,278.43,215.81,106.24,210.96,440.9,259.5,555.88,60.67,189.34,689.63,156.94,249.3,54.19,646.34,478.48,368.4,95.26,221.72,508.71,135.42,174.26,199.67,239.09,359.11,231.31,402.9,204.86,377.9,307.7,137.41,389.95,322.67
2024-12-31,198.25,214.28,186.06,350.49,380.09,409.13,100.49,445.51,332.07,287.67,316.13,138.98,151.1,126.17,374.38,145.84,311.17,406.31,400.61,313.99,513.53,253.91,447.6,376.02,123.92,163.7,158.66,133.71,129.47,461.73,243.4,269.91,282.0,163.09,354.51,558.81,113.98,152.48,153.95,590.28,486.27,209.63,530.73,229.47,450.97,287.74,50.5,274.63,39.19,250.81,596.12,82.04,157.85,334.55,437.97,109.72,122.53,458.47,395.83,122.97,306.22,269.49,301.96,297.66,674.08,297.61,179.68,457.32,101.3,281.38,209.62,107.24,215.29,447.3,255.81,571.14,60.2,189.67,653.38,155.19,256.32,53.29,642.12,490.36,371.67,94.62,211.8,500.86,135.08,178.53,202.56,236.19,364.86,236.85,424.12,200.56,373.46,294.74,136.98,380.73,323.35
2025-01-01,196.97,205.62,187.47,346.31,389.7,400.38,100.24,463.72,333.18,283.06,316.38,141.3,148.6,128.56,374.71,144.86,308.79,391.57,394.5,307.47,517.84,245.86,443.11,361.44,125.25,163.57,158.42,133.24,134.32,473.54,249.3,270.03,288.02,162.67,353.6,550.84,112.73,149.68,154.43,577.61,507.25,208.43,544.03,230.78,445.25,296.19,50.45,274.38,38.84,255.18,609.67,82.01,161.83,334.03,444.79,110.8,122.9,460.29,395.42,122.94,310.81,277.45,296.53,292.26,665.28,296.85,176.33,452.65,100.73,277.71,204.72,106.69,213.72,449.84,259.89,573.65,60.15,190.32,640.75,155.49,250.79,52.85,642.25,490.83,361.93,95.76,202.42,500.96,133.49,182.06,204.61,236.19,369.2,240.61,420.68,201.74,370.89,295.25,136.06,375.68,332.19
2025-01-02,196.89,205.1,189.46,345.61,383.86,406.54,100.84,461.33,329.6,287.19,315.01,140.41,148.44,123.6,374.36,144.9,296.87,386.01,397.09,305.75,518.3,245.59,432.53,364.91,127.23,161.13,157.35,133.3,139.6,493.5,247.68,270.5,282.94,163.52,349.03,555.86,112.49,153.32,160.17,595.02,515.16,221.4,560.71,227.92,440.8,300.81,50.83,270.84,38.33,257.02,615.1,82.3,163.17,341.3,451.54,112.96,123.09,461.82,395.48,126.61,309.75,270.99,288.03,275.53,672.33,297.34,176.29,455.13,100.95,283.24,207.82,109.04,222.31,457.58,262.46,559.23,60.76,187.68,651.57,155.3,256.29,54.83,666.09,485.48,372.77,96.62,196.92,504.51,134.24,183.15,199.62,242.56,379.98,239.37,400.62,205.83,369.23,304.69,137.5,371.32,321.03
2025-01-03,190.63,205.16,191.35,342.2,379.63,410.15,99.91,471.54,316.64,275.8,315.92,143.48,146.73,122.13,381.0,145.37,306.14,397.15,423.57,299.7,527.63,246.58,417.72,359.72,128.12,161.11,155.68,136.32,144.21,528.44,250.01,274.24,276.41,158.67,335.98,539.92,113.79,149.23,159.12,578.35,500.12,219.79,546.1,229.29,448.36,307.66,50.74,269.57,38.16,263.07,617.47,82.57,158.23,334.35,449.11,105.93,123.68,463.92,388.96,121.82,300.47,271.81,280.67,280.01,650.55,294.66,171.12,464.2,102.95,291.64,219.0,109.58,216.48,452.37,264.43,569.53,62.34,187.92,658.67,152.96,270.52,54.91,646.22,485.59,372.95,97.77,203.4,503.5,136.9,185.67,198.35,248.6,387.62,239.18,398.6,203.81,367.12,310.79,140.05,381.99,326.63
2025-01-06,188.55,208.35,192.38,355.3,379.31,411.45,99.67,505.72,332.27,268.21,322.82,139.0,149.02,120.79,380.08,145.33,296.71,408.19,434.67,300.5,546.94,251.77,433.46,361.56,128.54,162.0,155.57,138.63,143.26,497.05,257.27,273.18,279.79,158.99,331.58,539.93,109.78,147.93,161.38,569.08,497.88,237.42,520.0,232.4,424.88,297.67,51.21,265.53,37.82,255.84,624.71,81.53,158.41,333.15,452.38,105.61,127.08,450.2,383.31,122.68,313.59,265.84,277.59,278.61,674.19,296.67,167.57,459.55,101.18,287.81,225.26,108.96,217.43,461.56,265.76,591.11,63.37,188.4,656.57,156.4,276.99,54.63,666.43,490.18,358.21,94.66,202.24,494.89,138.05,183.93,196.29,247.82,394.57,237.02,399.29,208.32,375.3,303.16,140.79,361.75,327.3
2025-01-07,185.65,210.75,196.68,362.13,375.22,414.87,99.75,514.24,315.39,267.99,329.28,136.78,153.8,119.16,375.75,144.57,302.11,424.95,434.21,301.16,550.12,246.64,450.9,358.35,129.64,158.32,154.98,135.63,141.36,501.69,259.32,280.56,281.67,157.41,338.65,555.26,108.26,153.4,158.14,556.75,495.63,236.7,501.21,230.32,444.5,299.8,50.84,266.37,38.45,256.52,630.1,80.25,157.8,330.81,459.71,106.23,125.86,451.67,379.01,122.54,316.05,264.37,271.29,279.64,702.47,292.35,163.09,459.62,102.61,288.65,226.08,110.71,216.16,466.18,269.96,589.96,63.18,194.12,651.62,156.42,278.36,52.63,669.63,503.64,369.21,94.26,203.63,489.23,139.12,182.71,199.84,243.05,381.92,234.2,397.67,207.6,373.89,301.43,140.31,351.63,348.3
2025-01-08,189.19,210.64,202.92,360.33,362.6,423.03,102.54,486.65,315.14,274.44,325.63,138.53,150.08,117.36,384.22,142.93,292.22,402.39,454.89,303.91,553.77,247.16,442.3,366.73,127.64,167.39,154.53,135.95,139.04,489.92,261.48,283.41,278.92,163.78,331.35,540.83,109.79,153.96,159.02,560.64,494.55,240.15,523.63,231.7,435.62,304.82,51.69,269.87,37.07,256.0,639.58,83.11,156.49,322.17,463.59,106.07,126.24,443.66,382.99,124.31,324.19,275.16,262.62,283.69,701.45,287.91,162.85,458.04,101.51,290.83,229.07,109.56,215.74,469.51,272.48,579.89,63.76,194.53,641.48,160.64,284.43,52.32,700.04,513.44,361.75,93.3,201.47,490.04,136.74,183.79,200.45,242.16,387.09,229.25,404.49,211.37,364.5,305.31,139.91,343.23,359.98
2025-01-09,186.78,212.22,210.46,369.11,354.6,423.06,102.2,489.28,318.99,273.69,327.87,139.37,145.88,119.38,381.23,144.52,297.74,392.62,464.1,302.83,547.06,249.68,439.34,378.48,131.31,171.85,157.4,137.49,141.14,477.06,255.7,276.78,277.22,161.0,338.34,557.11,112.52,153.6,161.55,552.16,500.94,241.24,512.39,234.77,436.86,302.57,49.47,273.74,37.84,259.62,666.16,80.51,151.05,329.77,460.15,108.65,126.91,447.84,394.56,130.97,315.79,258.96,268.89,288.36,705.52,283.72,164.35,472.67,99.55,300.74,218.66,113.12,214.1,477.83,269.62,589.94,64.43,193.5,631.2,159.65,288.31,51.49,697.94,499.64,363.09,94.11,204.23,479.59,136.1,186.73,192.67,244.93,370.67,229.61,401.62,209.4,366.06,309.19,143.51,361.97,370.73
2025-01-10,185.76,214.23,208.41,369.75,353.07,421.91,100.27,506.46,303.04,263.64,333.29,143.41,143.45,124.54,380.34,144.18,293.14,389.92,459.32,306.75,546.72,244.97,419.32,389.6,133.03,176.85,159.27,137.53,140.4,479.79,253.18,285.61,287.01,158.44,324.3,585.67,113.16,148.76,163.5,546.29,517.64,240.67,502.88,235.17,431.47,306.29,50.93,276.33,37.61,266.35,653.92,80.17,147.38,327.54,456.73,110.09,126.06,455.11,401.97,132.16,318.83,256.46,279.94,285.03,706.53,278.57,161.12,467.77,100.69,316.26,221.94,115.89,210.33,487.92,265.24,598.27,64.26,190.17,625.35,156.91,275.96,51.79,690.99,480.14,371.39,92.94,211.48,476.81,136.72,186.19,194.68,243.48,371.23,230.11,414.27,212.69,377.3,305.7,145.93,367.94,378.72
2025-01-13,186.28,215.78,211.69,372.31,362.22,420.3,99.7,514.35,284.12,272.31,330.87,145.13,145.64,124.44,376.66,147.34,296.24,390.81,471.47,312.68,550.94,235.63,405.73,376.72,132.61,179.33,162.89,137.55,141.55,482.83,262.95,281.33,284.94,156.56,324.28,590.96,112.61,146.5,163.17,558.69,495.43,243.65,507.16,237.7,423.81,308.59,49.3,275.67,38.05,265.15,671.76,81.37,146.59,324.89,454.0,109.36,124.74,456.86,405.23,132.37,331.86,259.65,276.33,278.8,741.29,281.49,160.16,459.43,98.89,315.33,217.48,116.13,209.26,483.19,266.2,558.51,64.47,188.97,607.31,155.14,286.51,51.62,686.17,479.33,363.72,91.49,209.51,482.72,136.83,188.41,194.37,240.41,378.11,225.6,415.08,212.11,384.28,313.6,147.54,376.71,379.0
2025-01-14,190.29,215.69,215.3,353.99,359.12,418.11,99.62,505.68,295.88,269.46,330.66,140.23,142.1,123.44,370.45,154.16,299.62,392.36,496.61,316.4,547.03,227.41,393.34,369.57,130.85,172.54,162.74,137.01,141.1,466.12,267.65,289.68,283.4,158.27,325.86,591.35,113.79,146.22,168.0,555.83,511.57,238.9,510.48,237.88,427.83,308.34,48.65,273.16,38.31,261.39,654.39,82.14,141.32,325.93,443.77,109.36,124.96,450.16,414.91,129.74,333.88,246.84,276.79,272.3,766.1,291.54,156.97,458.53,94.68,326.24,218.28,119.7,209.85,486.45,264.29,546.27,65.91,186.76,611.99,156.06,289.32,49.81,693.12,470.77,357.3,90.96,204.1,465.01,139.54,184.2,192.57,238.69,381.99,226.26,419.51,211.87,384.04,330.52,153.54,378.8,386.47
2025-01-15,188.55,208.41,212.4,347.25,361.0,416.49,100.19,499.14,286.16,268.0,337.36,143.23,136.22,123.75,362.77,155.73,303.35,371.25,491.87,312.32,559.05,224.38,380.45,376.64,125.41,174.33,161.17,140.63,132.8,476.09,271.95,285.54,276.23,163.04,324.82,568.62,113.31,142.89,171.43,563.23,522.78,236.09,510.98,238.52,424.66,313.07,48.91,274.41,38.38,265.16,636.91,81.01,139.38,326.23,455.95,108.38,124.02,452.51,421.24,130.77,335.94,243.65,269.88,272.71,753.57,292.26,157.01,460.29,94.85,337.96,213.12,119.18,202.81,484.43,262.88,543.24,65.94,189.21,606.31,153.57,306.57,50.15,684.98,478.89,363.98,91.25,204.4,461.02,140.91,183.85,195.34,247.84,382.05,226.63,412.4,212.09,385.25,332.77,154.17,364.3,391.12
2025-01-16,190.22,200.73,219.36,338.87,360.07,422.73,101.34,533.04,281.03,277.69,347.11,142.95,133.88,126.13,370.22,154.69,313.41,389.23,500.04,312.28,562.41,223.33,398.69,377.28,125.82,183.36,160.99,142.79,139.19,486.23,282.3,284.27,275.74,163.02,334.02,570.88,112.39,141.28,172.81,572.86,520.83,236.95,514.43,236.24,413.98,311.3,48.68,272.91,38.56,258.04,661.11,80.78,143.46,326.86,457.63,106.94,124.16,461.12,416.7,130.43,342.48,239.42,273.85,267.75,746.69,294.54,155.99,457.91,93.41,343.21,209.54,118.85,204.23,483.28,262.0,541.12,65.54,190.78,605.45,160.0,303.45,49.43,695.19,483.19,361.37,89.68,210.51,459.43,136.4,182.7,193.76,248.16,392.25,227.82,426.43,210.96,388.33,341.43,148.72,371.07,405.22
